ticker,parsed_expiry,parsed_strike,parsed_type,total_premium,total_size,open_interest
SPY,,685,PUT,24124353.00,358734,0
SPY,,686,CALL,26740370.00,161412,0
SPY,,686,PUT,31641766.00,568774,0
SPY,,687,CALL,63309258.00,576552,0
SPY,,687,PUT,61053212.00,802592,0
SPY,,688,CALL,67192684.00,930174,0
SPY,,688,PUT,60493041.00,481124,0
SPY,,689,CALL,23872297.00,531810,0
SPY,,689,PUT,34918113.00,176561,0
SPY,,690,CALL,33255697.00,387783,0
SPY,,690,PUT,31457940.00,72931,0
SPY,,691,CALL,5610855.00,148258,0
SPY,,691,PUT,7142484.00,18227,0
SPY,,692,CALL,4491718.00,90904,0
SPY,,692,PUT,4568300.00,8765,0
SPY,,693,CALL,2231376.00,63443,0
SPY,,693,PUT,1544995.00,2415,0
SPY,,694,CALL,1802192.00,33126,0
SPY,,694,PUT,1431459.00,2152,0
SPY,,695,CALL,7815214.00,68283,0
SPY,,695,PUT,3890903.00,2824,0
SPY,,696,CALL,1091386.00,22231,0
SPY,,696,PUT,316370.00,336,0
SPY,,697,CALL,906495.00,35409,0
SPY,,697,PUT,1029588.00,1065,0
SPY,,698,CALL,1112844.00,30770,0
SPY,,698,PUT,197377.00,154,0
SPY,,699,CALL,776450.00,10611,0
SPY,,699,PUT,288658.00,220,0
SPY,,700,CALL,11120489.00,56942,0
SPY,,700,PUT,23629666.00,8375,0
SPY,,701,CALL,637791.00,4877,0
SPY,,701,PUT,90206.00,57,0
SPY,,702,CALL,782400.00,6283,0
SPY,,702,PUT,222490.00,148,0
SPY,,703,CALL,343010.00,4492,0
SPY,,703,PUT,58831.00,36,0
SPY,,704,CALL,229253.00,5186,0
SPY,,704,PUT,60196.00,36,0
SPY,,705,CALL,3192134.00,9733,0
SPY,,705,PUT,570957.00,166,0
SPY,,706,CALL,207371.00,2074,0
SPY,,706,PUT,15406.00,8,0
SPY,,707,CALL,97297.00,1074,0
SPY,,707,PUT,497534.00,261,0
SPY,,708,CALL,137680.00,496,0
SPY,,708,PUT,12561.00,6,0
SPY,,709,CALL,79335.00,779,0
