symbol,exp,dte,stk,underlying_price,type,vol,oi,delta,gamma,prem
SPY,,1,687,687.47,PUT,386841,12730,0,0,0.0
SPY,,1,688,687.47,CALL,435533,12523,0,0,0.0
SPY,,1,688,687.47,PUT,234908,34925,0,0,0.0
SPY,,1,689,687.47,CALL,307635,15876,0,0,0.0
SPY,,1,689,687.47,PUT,51405,27086,0,0,0.0
SPY,,1,690,687.47,CALL,191314,15178,0,0,0.0
SPY,,1,690,687.47,PUT,20370,4850,0,0,0.0
SPY,,1,691,687.47,CALL,68129,15402,0,0,0.0
SPY,,1,691,687.47,PUT,4079,5535,0,0,0.0
SPY,,1,692,687.47,CALL,21220,12716,0,0,0.0
SPY,,1,692,687.47,PUT,2578,542,0,0,0.0
SPY,,1,693,687.47,CALL,6904,9150,0,0,0.0
SPY,,1,693,687.47,PUT,595,22,0,0,0.0
SPY,,1,694,687.47,CALL,3782,5265,0,0,0.0
SPY,,1,694,687.47,PUT,106,187,0,0,0.0
SPY,,1,695,687.47,CALL,13872,9326,0,0,0.0
SPY,,1,695,687.47,PUT,175,87,0,0,0.0
SPY,,1,696,687.47,CALL,255,4165,0,0,0.0
SPY,,1,696,687.47,PUT,37,15,0,0,0.0
SPY,,1,697,687.47,CALL,253,6465,0,0,0.0
SPY,,1,697,687.47,PUT,237,1,0,0,0.0
SPY,,1,698,687.47,CALL,106,3806,0,0,0.0
SPY,,1,698,687.47,PUT,40,1,0,0,0.0
SPY,,1,699,687.47,CALL,167,3876,0,0,0.0
SPY,,1,699,687.47,PUT,2,0,0,0,0.0
SPY,,1,700,687.47,CALL,137,5346,0,0,0.0
SPY,,1,700,687.47,PUT,13,1,0,0,0.0
SPY,,1,701,687.47,CALL,90,1399,0,0,0.0
SPY,,1,701,687.47,PUT,0,0,0,0,0.0
SPY,,1,702,687.47,CALL,6,301,0,0,0.0
SPY,,1,702,687.47,PUT,1,1,0,0,0.0
SPY,,1,703,687.47,CALL,13,290,0,0,0.0
SPY,,1,703,687.47,PUT,0,0,0,0,0.0
SPY,,1,704,687.47,CALL,6,1469,0,0,0.0
SPY,,1,704,687.47,PUT,0,0,0,0,0.0
SPY,,1,705,687.47,CALL,38,1360,0,0,0.0
SPY,,1,705,687.47,PUT,254,2,0,0,0.0
SPY,,1,706,687.47,CALL,0,829,0,0,0.0
SPY,,1,706,687.47,PUT,2,0,0,0,0.0
SPY,,1,707,687.47,CALL,0,367,0,0,0.0
SPY,,1,707,687.47,PUT,0,0,0,0,0.0
SPY,,1,708,687.47,CALL,0,277,0,0,0.0
